C. Demografía y Población
Padrón municipal
Características de la población a 1 de enero
Nivel de estudios
"1.1.6.2. Población de 25 y más años clasificada por Nivel de estudios según Distrito y Grupo de edad, para cada Sexo"
;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2017;Ciudad de Madrid;Total;2.460.927;13.675;122.702;310.755;554.446;96.691;92.246;377.715;44.356;149.416;48.054;493.624;19.414;134.091;3.742;1.115.025;3.865;42.185;123.015;252.273;49.454;53.783;180.878;16.257;47.585;36.890;232.013;10.543;64.699;1.585;1.345.902;9.810;80.517;187.740;302.173;47.237;38.463;196.837;28.099;101.831;11.164;261.611;8.871;69.392;2.157
1 de enero de 2017;Ciudad de Madrid;25 a 29 años;189.449;807;5.200;9.055;40.745;9.093;8.035;35.249;2.206;8.057;2.494;54.377;1.488;12.394;249;90.634;508;3.221;4.951;20.681;5.027;4.454;18.723;904;2.214;1.701;22.555;704;4.817;174;98.815;299;1.979;4.104;20.064;4.066;3.581;16.526;1.302;5.843;793;31.822;784;7.577;75
1 de enero de 2017;Ciudad de Madrid;30 a 34 años;224.534;333;2.983;11.065;50.629;9.205;9.986;32.259;4.404;15.193;5.319;60.243;3.104;19.638;173;108.264;182;1.701;6.029;25.994;5.048;5.890;17.209;1.843;4.376;3.706;26.658;1.531;7.978;119;116.270;151;1.282;5.036;24.635;4.157;4.096;15.050;2.561;10.817;1.613;33.585;1.573;11.660;54
1 de enero de 2017;Ciudad de Madrid;35 a 39 años;255.957;406;2.237;11.088;55.276;10.287;10.085;40.650;7.150;18.613;6.514;69.796;4.408;19.426;21;125.234;195;1.122;5.888;29.050;5.681;5.730;21.883;3.023;5.894;4.549;31.479;2.282;8.444;14;130.723;211;1.115;5.200;26.226;4.606;4.355;18.767;4.127;12.719;1.965;38.317;2.126;10.982;7
1 de enero de 2017;Ciudad de Madrid;40 a 44 años;268.276;583;2.713;12.527;55.539;11.424;13.090;41.849;7.925;19.716;7.364;74.575;3.261;17.678;32;130.980;282;1.391;6.630;29.443;6.232;7.208;21.828;3.025;6.664;5.002;33.384;1.750;8.118;23;137.296;301;1.322;5.897;26.096;5.192;5.882;20.021;4.900;13.052;2.362;41.191;1.511;9.560;9
1 de enero de 2017;Ciudad de Madrid;45 a 49 años;250.429;683;2.976;14.178;56.271;14.369;14.709;40.814;6.737;17.414;5.261;60.184;2.171;14.602;60;120.903;309;1.467;7.236;28.396;7.556;8.157;19.832;2.453;5.939;3.893;27.509;1.144;6.977;35;129.526;374;1.509;6.942;27.875;6.813;6.552;20.982;4.284;11.475;1.368;32.675;1.027;7.625;25
1 de enero de 2017;Ciudad de Madrid;50 a 54 años;241.327;774;3.409;16.710;55.902;14.935;13.373;45.262;5.166;15.775;4.019;50.913;1.450;13.436;203;112.979;329;1.559;8.111;27.012;7.103;7.116;20.766;1.786;5.244;3.204;23.174;829;6.644;102;128.348;445;1.850;8.599;28.890;7.832;6.257;24.496;3.380;10.531;815;27.739;621;6.792;101
1 de enero de 2017;Ciudad de Madrid;55 a 59 años;210.425;800;4.013;21.476;52.220;9.328;7.425;42.612;3.640;13.871;3.227;38.453;1.053;11.928;379;96.781;317;1.688;9.583;23.696;3.923;4.434;19.702;1.090;4.550;2.657;18.441;614;5.928;158;113.644;483;2.325;11.893;28.524;5.405;2.991;22.910;2.550;9.321;570;20.012;439;6.000;221
1 de enero de 2017;Ciudad de Madrid;60 a 64 años;169.532;771;5.393;25.285;43.285;5.294;3.981;31.770;2.512;10.716;2.476;28.679;742;8.229;399;75.147;308;2.087;10.480;17.205;2.271;2.562;14.390;728;3.502;2.053;14.528;470;4.383;180;94.385;463;3.306;14.805;26.080;3.023;1.419;17.380;1.784;7.214;423;14.151;272;3.846;219
