C. Demografía y Población
Padrón municipal
Características de la población a 1 de enero
Nivel de estudios
"1.1.6.2. Población de 25 y más años clasificada por Nivel de estudios según Distrito y Grupo de edad, para cada Sexo"
;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2023;Ciudad de Madrid;Total;2.591.217;11.829;84.074;249.108;574.178;102.492;105.586;403.656;48.488;139.584;45.241;592.736;22.101;212.138;6;1.180.419;4.465;28.849;97.741;262.122;51.967;60.357;194.723;18.263;44.856;34.042;272.335;11.852;98.846;1;1.410.798;7.364;55.225;151.367;312.056;50.525;45.229;208.933;30.225;94.728;11.199;320.401;10.249;113.292;5
1 de enero de 2023;Ciudad de Madrid;25 a 29 años;228.548;2.396;2.333;6.746;42.350;8.813;9.284;47.842;2.885;2.835;985;71.905;1.661;28.513;0;109.860;1.541;1.435;3.830;22.169;4.902;5.100;25.772;1.303;1.100;508;29.265;764;12.171;0;118.688;855;898;2.916;20.181;3.911;4.184;22.070;1.582;1.735;477;42.640;897;16.342;0
1 de enero de 2023;Ciudad de Madrid;30 a 34 años;239.688;872;3.807;7.478;45.567;9.515;11.186;33.510;3.556;6.566;2.421;75.200;2.368;37.641;1;117.103;562;2.343;4.165;23.681;5.237;6.458;18.311;1.648;2.218;1.612;33.510;1.244;16.114;0;122.585;310;1.464;3.313;21.886;4.278;4.728;15.199;1.908;4.348;809;41.690;1.124;21.527;1
1 de enero de 2023;Ciudad de Madrid;35 a 39 años;231.137;289;2.821;9.194;51.184;9.130;11.479;29.822;4.401;12.790;4.569;62.674;2.947;29.836;1;113.185;155;1.652;4.985;26.272;5.008;6.758;15.833;2.022;4.013;3.153;28.874;1.565;12.895;0;117.952;134;1.169;4.209;24.912;4.122;4.721;13.989;2.379;8.777;1.416;33.800;1.382;16.941;1
1 de enero de 2023;Ciudad de Madrid;40 a 44 años;249.061;324;1.893;9.687;55.989;9.667;10.593;37.391;6.479;16.048;5.666;66.774;4.040;24.509;1;121.246;151;944;5.059;28.830;5.218;6.031;19.778;2.735;5.152;3.997;30.217;2.109;11.025;0;127.815;173;949;4.628;27.159;4.449;4.562;17.613;3.744;10.896;1.669;36.557;1.931;13.484;1
1 de enero de 2023;Ciudad de Madrid;45 a 49 años;265.750;504;2.293;10.989;55.629;10.976;13.011;40.576;7.697;18.372;6.673;74.074;3.420;21.536;0;128.380;245;1.133;5.731;28.663;5.896;7.048;20.999;3.039;6.150;4.530;33.102;1.816;10.028;0;137.370;259;1.160;5.258;26.966;5.080;5.963;19.577;4.658;12.222;2.143;40.972;1.604;11.508;0
1 de enero de 2023;Ciudad de Madrid;50 a 54 años;251.528;565;2.572;12.412;55.950;13.176;13.964;39.981;6.956;17.016;5.521;63.625;2.494;17.296;0;119.506;245;1.249;6.204;27.743;6.894;7.673;19.264;2.422;5.865;3.948;28.563;1.255;8.181;0;132.022;320;1.323;6.208;28.207;6.282;6.291;20.717;4.534;11.151;1.573;35.062;1.239;9.115;0
1 de enero de 2023;Ciudad de Madrid;55 a 59 años;241.734;669;3.017;14.701;54.619;14.757;14.248;43.289;5.469;15.597;4.115;54.207;1.646;15.400;0;112.020;284;1.364;7.028;25.972;7.097;7.597;19.685;1.868;5.100;3.229;24.290;908;7.598;0;129.714;385;1.653;7.673;28.647;7.660;6.651;23.604;3.601;10.497;886;29.917;738;7.802;0
1 de enero de 2023;Ciudad de Madrid;60 a 64 años;209.144;702;3.341;18.232;50.890;10.260;8.282;41.530;3.884;13.468;3.400;41.044;1.166;12.944;1;95.046;269;1.354;8.103;22.926;4.299;4.626;18.911;1.205;4.376;2.735;19.179;677;6.385;1;114.098;433;1.987;10.129;27.964;5.961;3.656;22.619;2.679;9.092;665;21.865;489;6.559;0
1 de enero de 2023;Ciudad de Madrid;65 a 69 años;166.011;630;4.274;21.814;41.374;5.229;3.957;32.237;2.634;10.852;2.334;30.687;776;9.213;0;71.990;226;1.617;8.660;16.275;2.150;2.462;14.235;757;3.410;1.935;15.023;457;4.783;0;94.021;404;2.657;13.154;25.099;3.079;1.495;18.002;1.877;7.442;399;15.664;319;4.430;0
1 de enero de 2023;Ciudad de Madrid;70 a 74 años;143.239;658;6.665;27.498;37.006;3.994;3.334;21.546;1.942;9.045;3.067;21.642;591;6.251;0;59.867;194;2.173;10.116;12.684;1.708;2.217;9.158;540;2.671;2.615;11.884;372;3.535;0;83.372;464;4.492;17.382;24.322;2.286;1.117;12.388;1.402;6.374;452;9.758;219;2.716;0
1 de enero de 2023;Ciudad de Madrid;75 a 79 años;132.004;803;10.208;33.416;34.455;3.100;2.793;15.264;1.261;7.328;3.148;15.527;418;4.283;0;52.757;164;3.042;11.304;11.514;1.515;1.929;5.925;361;2.079;2.802;9.172;274;2.676;0;79.247;639;7.166;22.112;22.941;1.585;864;9.339;900;5.249;346;6.355;144;1.607;0
1 de enero de 2023;Ciudad de Madrid;80 a 84 años;98.294;1.026;12.536;29.377;23.387;1.981;1.748;9.720;658;4.719;1.930;8.477;296;2.439;0;37.297;168;3.561;9.407;7.779;1.042;1.315;3.533;202;1.411;1.731;5.208;222;1.718;0;60.997;858;8.975;19.970;15.608;939;433;6.187;456;3.308;199;3.269;74;721;0
1 de enero de 2023;Ciudad de Madrid;85 a 89 años;80.418;1.323;15.441;28.095;16.103;1.269;1.094;6.606;418;3.037;947;4.446;181;1.458;0;27.088;147;4.126;8.367;5.094;697;757;2.212;107;850;853;2.647;122;1.109;0;53.330;1.176;11.315;19.728;11.009;572;337;4.394;311;2.187;94;1.799;59;349;0
1 de enero de 2023;Ciudad de Madrid;90 a 94 años;41.808;806;9.692;14.827;7.515;516;489;3.325;198;1.447;369;1.924;78;621;1;12.277;93;2.299;3.926;2.046;259;317;921;46;385;323;1.122;51;489;0;29.531;713;7.393;10.901;5.469;257;172;2.404;152;1.062;46;802;27;132;1
1 de enero de 2023;Ciudad de Madrid;95 a 99 años;11.102;221;2.725;4.007;1.874;98;103;863;43;409;86;472;17;184;0;2.495;18;494;764;429;38;59;163;7;67;65;248;14;129;0;8.607;203;2.231;3.243;1.445;60;44;700;36;342;21;224;3;55;0
1 de enero de 2023;Ciudad de Madrid;100 y más años;1.751;41;456;635;286;11;21;154;7;55;10;58;2;14;1;302;3;63;92;45;7;10;23;1;9;6;31;2;10;0;1.449;38;393;543;241;4;11;131;6;46;4;27;0;4;1
1 de enero de 2023;01. Centro;Total;118.959;301;2.293;7.129;18.173;2.867;3.768;18.068;2.501;6.519;1.836;37.497;1.778;16.229;0;60.660;136;941;3.076;9.572;1.622;2.300;9.897;1.253;2.785;1.336;18.628;1.004;8.110;0;58.299;165;1.352;4.053;8.601;1.245;1.468;8.171;1.248;3.734;500;18.869;774;8.119;0
1 de enero de 2023;01. Centro;25 a 29 años;14.420;79;65;223;1.668;256;430;2.560;271;328;94;5.822;191;2.433;0;6.903;54;47;146;1.027;144;247;1.351;138;123;49;2.401;96;1.080;0;7.517;25;18;77;641;112;183;1.209;133;205;45;3.421;95;1.353;0
1 de enero de 2023;01. Centro;30 a 34 años;15.851;20;114;258;1.775;294;550;1.967;252;539;189;6.239;270;3.384;0;8.410;12;84;176;1.088;195;355;1.203;138;243;132;3.034;152;1.598;0;7.441;8;30;82;687;99;195;764;114;296;57;3.205;118;1.786;0
1 de enero de 2023;01. Centro;35 a 39 años;13.542;8;106;312;1.810;299;539;1.690;297;715;224;4.746;277;2.519;0;7.688;3;66;209;1.166;211;345;1.082;184;347;161;2.515;167;1.232;0;5.854;5;40;103;644;88;194;608;113;368;63;2.231;110;1.287;0
1 de enero de 2023;01. Centro;40 a 44 años;12.592;13;103;359;1.829;276;446;1.739;332;761;226;4.229;288;1.991;0;7.135;9;72;214;1.179;181;298;1.089;178;369;169;2.179;160;1.038;0;5.457;4;31;145;650;95;148;650;154;392;57;2.050;128;953;0
1 de enero de 2023;01. Centro;45 a 49 años;11.861;5;105;373;1.715;311;415;1.738;345;829;256;4.052;240;1.477;0;6.620;3;66;236;1.029;199;265;1.026;190;410;180;2.089;139;788;0;5.241;2;39;137;686;112;150;712;155;419;76;1.963;101;689;0
1 de enero de 2023;01. Centro;50 a 54 años;10.475;9;111;400;1.624;339;366;1.641;317;737;192;3.353;181;1.205;0;5.747;4;77;232;934;205;217;949;152;350;132;1.770;95;630;0;4.728;5;34;168;690;134;149;692;165;387;60;1.583;86;575;0
1 de enero de 2023;01. Centro;55 a 59 años;9.692;14;107;449;1.573;404;385;1.741;251;654;190;2.786;116;1.022;0;5.117;8;57;248;838;196;226;944;120;289;141;1.453;65;532;0;4.575;6;50;201;735;208;159;797;131;365;49;1.333;51;490;0
1 de enero de 2023;01. Centro;60 a 64 años;8.357;12;144;536;1.438;258;286;1.656;141;612;142;2.263;81;788;0;4.142;7;69;253;725;117;142;831;59;243;108;1.117;49;422;0;4.215;5;75;283;713;141;144;825;82;369;34;1.146;32;366;0
1 de enero de 2023;01. Centro;65 a 69 años;6.482;23;121;655;1.197;161;113;1.289;119;435;89;1.641;51;588;0;3.021;11;52;278;494;69;71;629;46;161;63;810;27;310;0;3.461;12;69;377;703;92;42;660;73;274;26;831;24;278;0
1 de enero de 2023;01. Centro;70 a 74 años;4.868;13;177;731;1.029;101;83;748;82;326;89;1.079;25;385;0;2.106;5;57;295;373;32;44;338;26;97;74;548;16;201;0;2.762;8;120;436;656;69;39;410;56;229;15;531;9;184;0
1 de enero de 2023;01. Centro;75 a 79 años;4.050;27;250;781;985;85;73;543;41;236;72;681;29;247;0;1.689;6;89;273;331;35;42;224;9;71;65;372;17;155;0;2.361;21;161;508;654;50;31;319;32;165;7;309;12;92;0
1 de enero de 2023;01. Centro;80 a 84 años;2.786;26;289;677;703;39;33;349;31;158;36;330;15;100;0;991;7;85;197;207;17;26;120;8;44;33;179;12;56;0;1.795;19;204;480;496;22;7;229;23;114;3;151;3;44;0
