C. Demografía y Población
Padrón municipal
Características de la población a 1 de enero
Nivel de estudios
"1.1.6.2. Población de 25 y más años clasificada por Nivel de estudios según Distrito y Grupo de edad, para cada Sexo"
;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
1 de enero de 2021;Ciudad de Madrid;65 a 69 años;156.540;658;5.248;24.158;40.044;4.795;3.628;27.925;2.400;9.875;2.507;26.560;700;7.712;330;67.404;237;1.929;9.541;14.856;2.026;2.333;12.301;678;3.087;2.090;13.600;437;4.153;136;89.136;421;3.319;14.617;25.188;2.769;1.295;15.624;1.722;6.788;417;12.960;263;3.559;194
1 de enero de 2021;Ciudad de Madrid;70 a 74 años;144.449;765;8.307;31.123;37.723;3.814;3.244;19.467;1.663;8.883;3.371;19.604;531;5.583;371;60.082;216;2.653;11.163;12.922;1.726;2.202;8.146;494;2.583;2.944;11.280;336;3.263;154;84.367;549;5.654;19.960;24.801;2.088;1.042;11.321;1.169;6.300;427;8.324;195;2.320;217
1 de enero de 2021;Ciudad de Madrid;75 a 79 años;127.780;964;11.971;34.341;32.492;2.740;2.602;13.978;1.047;6.671;2.985;13.561;373;3.706;349;51.316;192;3.601;11.639;11.064;1.412;1.879;5.401;308;1.970;2.693;8.295;272;2.457;133;76.464;772;8.370;22.702;21.428;1.328;723;8.577;739;4.701;292;5.266;101;1.249;216
1 de enero de 2021;Ciudad de Madrid;80 a 84 años;102.664;1.477;16.704;33.164;22.405;1.910;1.656;9.153;598;4.259;1.635;6.969;260;2.176;298;38.328;211;4.812;10.769;7.654;1.061;1.226;3.323;205;1.313;1.486;4.366;190;1.623;89;64.336;1.266;11.892;22.395;14.751;849;430;5.830;393;2.946;149;2.603;70;553;209
1 de enero de 2021;Ciudad de Madrid;85 a 89 años;81.722;1.508;17.249;28.613;15.513;1.192;1.080;6.405;361;2.907;886;4.191;163;1.371;283;27.897;176;4.759;8.729;5.105;658;744;2.160;83;851;788;2.564;113;1.083;84;53.825;1.332;12.490;19.884;10.408;534;336;4.245;278;2.056;98;1.627;50;288;199
1 de enero de 2021;Ciudad de Madrid;90 a 94 años;38.653;783;9.475;13.670;6.599;411;415;3.007;179;1.285;317;1.669;78;602;163;11.078;73;2.245;3.508;1.765;206;270;821;45;327;262;1.003;55;462;36;27.575;710;7.230;10.162;4.834;205;145;2.186;134;958;55;666;23;140;127
1 de enero de 2021;Ciudad de Madrid;95 a 99 años;10.048;195;2.508;3.620;1.744;86;90;773;41;324;71;380;16;150;50;2.280;22;441;713;398;37;48;147;7;73;63;198;10;113;10;7.768;173;2.067;2.907;1.346;49;42;626;34;251;8;182;6;37;40
1 de enero de 2021;Ciudad de Madrid;100 y más años;1.538;44;411;523;238;12;22;130;7;59;8;52;0;15;17;263;6;47;71;45;3;9;28;1;10;2;25;0;11;5;1.275;38;364;452;193;9;13;102;6;49;6;27;0;4;12
1 de enero de 2021;01. Centro;Total;120.914;321;2.720;8.153;19.028;2.981;3.741;18.413;2.467;6.809;1.937;37.379;1.781;15.110;74;61.722;132;1.115;3.577;10.051;1.703;2.296;10.121;1.225;2.879;1.416;18.650;1.021;7.506;30;59.192;189;1.605;4.576;8.977;1.278;1.445;8.292;1.242;3.930;521;18.729;760;7.604;44
1 de enero de 2021;01. Centro;25 a 29 años;14.252;65;105;253;1.703;300;417;2.471;217;315;110;5.851;181;2.264;0;6.961;44;70;177;1.050;182;245;1.349;103;120;58;2.470;101;992;0;7.291;21;35;76;653;118;172;1.122;114;195;52;3.381;80;1.272;0
1 de enero de 2021;01. Centro;30 a 34 años;16.067;16;139;330;1.920;303;563;1.969;256;674;235;6.319;279;3.057;7;8.717;8;95;235;1.223;211;369;1.234;149;296;159;3.144;156;1.433;5;7.350;8;44;95;697;92;194;735;107;378;76;3.175;123;1.624;2
1 de enero de 2021;01. Centro;35 a 39 años;14.693;10;125;380;2.021;299;528;1.894;320;838;289;5.220;294;2.473;2;8.198;5;94;253;1.304;206;338;1.167;189;371;203;2.700;166;1.200;2;6.495;5;31;127;717;93;190;727;131;467;86;2.520;128;1.273;0
1 de enero de 2021;01. Centro;40 a 44 años;13.768;12;120;446;1.964;359;491;1.981;399;842;265;4.651;328;1.910;0;7.813;8;77;283;1.262;231;320;1.246;210;414;201;2.391;192;978;0;5.955;4;43;163;702;128;171;735;189;428;64;2.260;136;932;0
1 de enero de 2021;01. Centro;45 a 49 años;12.102;5;114;414;1.807;315;430;1.819;364;910;267;4.025;242;1.390;0;6.800;4;72;266;1.100;197;272;1.082;198;449;188;2.106;136;730;0;5.302;1;42;148;707;118;158;737;166;461;79;1.919;106;660;0
1 de enero de 2021;01. Centro;50 a 54 años;10.425;15;126;502;1.660;412;370;1.730;301;741;180;3.116;166;1.106;0;5.714;10;85;301;944;238;229;974;140;332;132;1.658;103;568;0;4.711;5;41;201;716;174;141;756;161;409;48;1.458;63;538;0
1 de enero de 2021;01. Centro;55 a 59 años;9.579;18;129;486;1.646;385;386;1.860;221;633;155;2.625;100;929;6;4.934;9;66;250;878;171;205;967;99;280;113;1.348;47;499;2;4.645;9;63;236;768;214;181;893;122;353;42;1.277;53;430;4
1 de enero de 2021;01. Centro;60 a 64 años;8.067;16;156;637;1.493;212;224;1.608;128;593;124;2.065;65;736;10;3.928;9;76;295;701;105;127;810;52;234;99;996;42;379;3;4.139;7;80;342;792;107;97;798;76;359;25;1.069;23;357;7
1 de enero de 2021;01. Centro;65 a 69 años;6.081;19;154;771;1.209;146;93;1.111;99;416;80;1.431;39;501;12;2.764;4;55;335;473;58;54;533;38;139;67;706;25;269;8;3.317;15;99;436;736;88;39;578;61;277;13;725;14;232;4
1 de enero de 2021;01. Centro;70 a 74 años;4.912;22;221;810;1.097;99;88;707;83;318;95;972;29;361;10;2.146;9;89;321;397;33;45;320;25;105;80;504;15;200;3;2.766;13;132;489;700;66;43;387;58;213;15;468;14;161;7
1 de enero de 2021;01. Centro;75 a 79 años;3.871;33;309;822;972;67;61;507;36;199;69;576;25;192;3;1.598;10;98;290;314;34;45;209;8;60;62;333;15;119;1;2.273;23;211;532;658;33;16;298;28;139;7;243;10;73;2
1 de enero de 2021;01. Centro;80 a 84 años;2.924;33;349;839;683;43;39;341;25;148;37;269;14;94;10;1.023;4;95;261;211;18;23;116;10;41;29;139;11;62;3;1.901;29;254;578;472;25;16;225;15;107;8;130;3;32;7
1 de enero de 2021;01. Centro;85 a 89 años;2.371;31;365;819;499;22;31;238;8;100;19;174;11;51;3;701;4;83;192;126;9;14;79;1;22;16;106;8;41;0;1.670;27;282;627;373;13;17;159;7;78;3;68;3;10;3
1 de enero de 2021;01. Centro;90 a 94 años;1.372;20;227;475;279;16;15;134;10;68;10;69;7;37;5;351;4;47;105;50;9;9;31;3;12;8;39;4;28;2;1.021;16;180;370;229;7;6;103;7;56;2;30;3;9;3
1 de enero de 2021;01. Centro;95 a 99 años;362;5;61;143;65;3;4;38;0;13;2;14;1;9;4;64;0;10;10;16;1;1;4;0;4;1;9;0;8;0;298;5;51;133;49;2;3;34;0;9;1;5;1;1;4
1 de enero de 2021;01. Centro;100 y más años;68;1;20;26;10;0;1;5;0;1;0;2;0;0;2;10;0;3;3;2;0;0;0;0;0;0;1;0;0;1;58;1;17;23;8;0;1;5;0;1;0;1;0;0;1
1 de enero de 2021;02. Arganzuela;Total;123.963;183;2.513;9.030;19.925;3.763;4.928;19.132;2.190;9.151;3.216;35.288;1.193;13.319;132;56.659;77;771;3.169;8.601;1.925;2.984;9.748;931;3.000;2.461;16.188;667;6.082;55;67.304;106;1.742;5.861;11.324;1.838;1.944;9.384;1.259;6.151;755;19.100;526;7.237;77
1 de enero de 2021;02. Arganzuela;25 a 29 años;10.206;35;75;149;1.017;293;377;1.903;110;148;38;4.179;82;1.798;2;4.930;24;52;84;568;171;221;1.086;49;58;19;1.771;43;782;2;5.276;11;23;65;449;122;156;817;61;90;19;2.408;39;1.016;0
1 de enero de 2021;02. Arganzuela;30 a 34 años;11.661;13;56;215;1.136;347;582;1.319;174;629;252;4.386;148;2.394;10;5.664;11;37;123;646;204;360;763;80;190;182;2.033;69;958;8;5.997;2;19;92;490;143;222;556;94;439;70;2.353;79;1.436;2
1 de enero de 2021;02. Arganzuela;35 a 39 años;12.895;5;47;203;1.475;363;581;1.456;253;971;424;4.544;227;2.343;3;6.373;1;23;123;815;219;377;848;139;316;306;2.061;130;1.013;2;6.522;4;24;80;660;144;204;608;114;655;118;2.483;97;1.330;1
1 de enero de 2021;02. Arganzuela;40 a 44 años;12.811;6;30;250;1.439;327;490;1.740;340;1.101;450;4.624;252;1.760;2;6.368;3;16;146;798;201;315;988;160;361;320;2.084;144;830;2;6.443;3;14;104;641;126;175;752;180;740;130;2.540;108;930;0
1 de enero de 2021;02. Arganzuela;45 a 49 años;11.882;5;43;268;1.527;316;519;1.613;337;979;459;4.425;170;1.221;0;5.739;2;24;138;798;190;308;897;155;345;301;1.961;89;531;0;6.143;3;19;130;729;126;211;716;182;634;158;2.464;81;690;0
1 de enero de 2021;02. Arganzuela;50 a 54 años;11.715;12;47;317;1.593;446;674;1.978;292;1.059;351;3.754;95;1.095;2;5.594;6;27;153;779;241;386;1.006;117;369;264;1.685;43;517;1;6.121;6;20;164;814;205;288;972;175;690;87;2.069;52;578;1
1 de enero de 2021;02. Arganzuela;55 a 59 años;11.573;5;70;431;1.807;552;566;2.236;221;973;302;3.344;70;986;10;5.326;1;31;204;864;218;286;1.051;77;345;238;1.490;46;469;6;6.247;4;39;227;943;334;280;1.185;144;628;64;1.854;24;517;4
1 de enero de 2021;02. Arganzuela;60 a 64 años;10.626;8;86;633;2.066;353;361;2.335;159;1.001;225;2.533;60;784;22;4.741;5;34;276;842;152;221;1.051;46;282;198;1.182;38;405;9;5.885;3;52;357;1.224;201;140;1.284;113;719;27;1.351;22;379;13
1 de enero de 2021;02. Arganzuela;65 a 69 años;8.572;11;128;854;2.051;261;253;1.795;139;786;190;1.607;30;459;8;3.735;5;44;319;695;87;162;835;49;253;163;837;20;263;3;4.837;6;84;535;1.356;174;91;960;90;533;27;770;10;196;5
1 de enero de 2021;02. Arganzuela;70 a 74 años;7.000;12;214;1.119;1.944;184;202;1.169;74;619;225;953;26;249;10;2.978;6;68;388;641;84;123;523;27;209;190;536;20;158;5;4.022;6;146;731;1.303;100;79;646;47;410;35;417;6;91;5
1 de enero de 2021;02. Arganzuela;75 a 79 años;5.316;18;304;1.259;1.520;124;172;661;49;405;149;493;14;130;18;2.119;7;96;368;485;63;123;317;19;121;138;278;11;87;6;3.197;11;208;891;1.035;61;49;344;30;284;11;215;3;43;12
1 de enero de 2021;02. Arganzuela;80 a 84 años;3.942;22;411;1.186;1.085;107;81;419;20;243;71;211;11;59;16;1.391;3;109;320;322;47;55;190;8;86;65;135;9;38;4;2.551;19;302;866;763;60;26;229;12;157;6;76;2;21;12
1 de enero de 2021;02. Arganzuela;85 a 89 años;3.384;17;502;1.191;817;65;45;323;12;159;51;150;6;30;16;1.080;3;102;328;239;34;28;134;3;47;50;79;4;24;5;2.304;14;400;863;578;31;17;189;9;112;1;71;2;6;11
1 de enero de 2021;02. Arganzuela;90 a 94 años;1.729;9;345;683;346;19;18;135;8;55;21;71;2;8;9;481;0;84;155;88;10;16;40;2;10;20;48;1;5;2;1.248;9;261;528;258;9;2;95;6;45;1;23;1;3;7
1 de enero de 2021;02. Arganzuela;95 a 99 años;562;4;135;228;91;5;6;43;1;21;7;14;0;3;4;131;0;22;42;18;4;3;18;0;7;7;8;0;2;0;431;4;113;186;73;1;3;25;1;14;0;6;0;1;4
1 de enero de 2021;02. Arganzuela;100 y más años;89;1;20;44;11;1;1;7;1;2;1;0;0;0;0;9;0;2;2;3;0;0;1;0;1;0;0;0;0;0;80;1;18;42;8;1;1;6;1;1;1;0;0;0;0
1 de enero de 2021;03. Retiro;Total;95.395;153;1.413;5.197;12.532;1.931;2.665;15.605;1.584;7.265;2.486;32.452;847;11.149;116;42.108;68;399;1.508;4.528;949;1.577;7.139;588;2.269;1.944;15.453;468;5.169;49;53.287;85;1.014;3.689;8.004;982;1.088;8.466;996;4.996;542;16.999;379;5.980;67
1 de enero de 2021;03. Retiro;25 a 29 años;7.105;22;48;66;536;169;188;1.367;56;78;35;3.242;54;1.243;1;3.337;16;28;36;278;107;116;768;35;27;22;1.359;19;525;1;3.768;6;20;30;258;62;72;599;21;51;13;1.883;35;718;0
1 de enero de 2021;03. Retiro;30 a 34 años;7.598;5;33;82;596;162;290;937;71;323;146;3.363;67;1.517;6;3.601;4;19;40;306;89;175;560;39;95;98;1.542;26;606;2;3.997;1;14;42;290;73;115;377;32;228;48;1.821;41;911;4
1 de enero de 2021;03. Retiro;35 a 39 años;8.022;1;18;114;693;161;283;927;141;611;212;3.293;132;1.433;3;3.920;0;9;53;364;85;194;556;66;209;158;1.558;72;594;2;4.102;1;9;61;329;76;89;371;75;402;54;1.735;60;839;1
1 de enero de 2021;03. Retiro;40 a 44 años;8.559;6;25;81;655;152;236;1.082;198;714;253;3.738;150;1.269;0;4.080;1;4;33;343;100;149;627;93;243;179;1.694;81;533;0;4.479;5;21;48;312;52;87;455;105;471;74;2.044;69;736;0
1 de enero de 2021;03. Retiro;45 a 49 años;8.617;11;29;114;708;190;264;1.149;239;694;267;3.750;101;1.101;0;4.145;7;15;47;350;112;160;636;86;259;193;1.731;46;503;0;4.472;4;14;67;358;78;104;513;153;435;74;2.019;55;598;0
1 de enero de 2021;03. Retiro;50 a 54 años;8.085;11;42;136;756;224;296;1.197;233;724;212;3.228;85;941;0;3.804;7;22;62;366;117;173;604;80;255;145;1.482;54;437;0;4.281;4;20;74;390;107;123;593;153;469;67;1.746;31;504;0
1 de enero de 2021;03. Retiro;55 a 59 años;8.280;19;47;184;907;208;315;1.557;177;693;195;3.002;82;892;2;3.749;12;18;87;410;89;166;690;52;235;152;1.355;49;433;1;4.531;7;29;97;497;119;149;867;125;458;43;1.647;33;459;1
1 de enero de 2021;03. Retiro;60 a 64 años;8.052;12;51;317;1.015;144;215;1.806;125;722;159;2.497;44;939;6;3.439;7;18;125;388;56;114;782;35;215;130;1.116;28;423;2;4.613;5;33;192;627;88;101;1.024;90;507;29;1.381;16;516;4
1 de enero de 2021;03. Retiro;65 a 69 años;7.597;11;61;366;1.250;170;130;1.676;125;734;184;2.169;49;659;13;3.131;3;20;122;385;61;71;649;38;193;150;1.067;29;336;7;4.466;8;41;244;865;109;59;1.027;87;541;34;1.102;20;323;6
1 de enero de 2021;03. Retiro;70 a 74 años;7.124;14;106;637;1.518;128;143;1.298;76;720;275;1.673;33;475;28;2.968;3;42;199;399;45;80;485;25;182;240;952;24;275;17;4.156;11;64;438;1.119;83;63;813;51;538;35;721;9;200;11
1 de enero de 2021;03. Retiro;75 a 79 años;6.040;7;144;732;1.423;87;120;1.035;66;539;288;1.252;23;309;15;2.494;3;42;196;356;30;72;341;13;146;253;808;19;207;8;3.546;4;102;536;1.067;57;48;694;53;393;35;444;4;102;7
1 de enero de 2021;03. Retiro;80 a 84 años;4.415;8;216;832;1.068;63;86;703;42;340;143;678;19;197;20;1.677;2;53;189;257;19;53;223;16;111;126;446;16;159;7;2.738;6;163;643;811;44;33;480;26;229;17;232;3;38;13
1 de enero de 2021;03. Retiro;85 a 89 años;3.449;10;292;828;832;40;67;516;24;249;87;378;6;110;10;1.159;1;61;189;214;22;37;148;8;68;73;243;4;90;1;2.290;9;231;639;618;18;30;368;16;181;14;135;2;20;9
1 de enero de 2021;03. Retiro;90 a 94 años;1.830;9;206;516;440;27;25;270;9;94;24;150;2;48;10;485;1;32;111;87;14;15;59;2;25;21;80;1;36;1;1.345;8;174;405;353;13;10;211;7;69;3;70;1;12;9
1 de enero de 2021;03. Retiro;95 a 99 años;531;5;80;164;118;6;5;71;1;27;5;35;0;13;1;107;1;14;19;23;3;1;9;0;5;4;18;0;10;0;424;4;66;145;95;3;4;62;1;22;1;17;0;3;1
1 de enero de 2021;03. Retiro;100 y más años;91;2;15;28;17;0;2;14;1;3;1;4;0;3;1;12;0;2;0;2;0;1;2;0;1;0;2;0;2;0;79;2;13;28;15;0;1;12;1;2;1;2;0;1;1
1 de enero de 2021;04. Salamanca;Total;117.784;155;1.440;5.281;14.229;1.927;2.616;18.635;2.127;7.686;2.264;44.537;1.114;15.624;149;50.558;66;393;1.526;5.008;862;1.379;7.754;653;2.294;1.714;20.774;596;7.495;44;67.226;89;1.047;3.755;9.221;1.065;1.237;10.881;1.474;5.392;550;23.763;518;8.129;105
1 de enero de 2021;04. Salamanca;25 a 29 años;11.513;24;52;93;721;155;230;1.918;119;184;55;5.796;68;2.098;0;5.066;12;27;55;373;94;125;1.072;47;66;32;2.299;33;831;0;6.447;12;25;38;348;61;105;846;72;118;23;3.497;35;1.267;0
1 de enero de 2021;04. Salamanca;30 a 34 años;11.713;10;38;114;819;154;313;1.206;131;439;173;5.790;120;2.401;5;5.367;3;27;65;415;92;178;660;56;130;109;2.580;53;996;3;6.346;7;11;49;404;62;135;546;75;309;64;3.210;67;1.405;2
1 de enero de 2021;04. Salamanca;35 a 39 años;10.419;2;20;131;853;138;304;1.130;155;611;200;4.651;153;2.069;2;4.936;2;14;67;424;73;172;610;66;194;143;2.173;88;910;0;5.483;0;6;64;429;65;132;520;89;417;57;2.478;65;1.159;2
1 de enero de 2021;04. Salamanca;40 a 44 años;10.178;7;21;118;967;180;235;1.224;219;688;206;4.505;133;1.675;0;4.796;3;6;49;441;105;136;694;104;262;137;2.036;70;753;0;5.382;4;15;69;526;75;99;530;115;426;69;2.469;63;922;0
1 de enero de 2021;04. Salamanca;45 a 49 años;9.820;11;28;134;942;181;234;1.286;234;691;218;4.374;128;1.358;1;4.582;9;6;56;456;91;136;704;75;234;135;1.954;65;661;0;5.238;2;22;78;486;90;98;582;159;457;83;2.420;63;697;1
1 de enero de 2021;04. Salamanca;50 a 54 años;9.678;13;36;196;1.043;207;292;1.399;274;725;172;3.993;124;1.202;2;4.348;9;12;82;439;111;139;631;67;263;132;1.798;65;598;2;5.330;4;24;114;604;96;153;768;207;462;40;2.195;59;604;0
1 de enero de 2021;04. Salamanca;55 a 59 años;10.213;13;39;272;1.107;239;299;1.744;256;797;174;3.900;104;1.262;7;4.552;7;20;122;458;101;142;722;78;264;135;1.800;55;645;3;5.661;6;19;150;649;138;157;1.022;178;533;39;2.100;49;617;4
1 de enero de 2021;04. Salamanca;60 a 64 años;9.503;9;82;345;1.106;155;180;1.927;191;795;153;3.329;77;1.138;16;4.057;4;31;139;397;52;77;774;47;227;122;1.569;38;572;8;5.446;5;51;206;709;103;103;1.153;144;568;31;1.760;39;566;8
1 de enero de 2021;04. Salamanca;65 a 69 años;8.145;13;74;403;1.217;141;131;1.680;177;657;168;2.615;64;783;22;3.380;6;29;124;386;35;71;609;36;171;128;1.306;39;435;5;4.765;7;45;279;831;106;60;1.071;141;486;40;1.309;25;348;17
1 de enero de 2021;04. Salamanca;70 a 74 años;7.582;3;99;554;1.302;126;133;1.498;143;682;234;2.127;64;595;22;3.067;1;35;180;336;39;75;459;28;152;194;1.181;39;340;8;4.515;2;64;374;966;87;58;1.039;115;530;40;946;25;255;14
1 de enero de 2021;04. Salamanca;75 a 79 años;6.510;14;136;632;1.329;99;93;1.273;110;515;234;1.593;30;434;18;2.566;4;38;161;317;28;46;334;25;125;201;972;23;284;8;3.944;10;98;471;1.012;71;47;939;85;390;33;621;7;150;10
1 de enero de 2021;04. Salamanca;80 a 84 años;4.947;14;222;746;1.067;71;72;969;58;387;117;907;23;273;21;1.684;3;47;164;235;17;31;215;13;93;107;544;10;202;3;3.263;11;175;582;832;54;41;754;45;294;10;363;13;71;18
1 de enero de 2021;04. Salamanca;85 a 89 años;4.318;14;306;819;959;57;60;816;36;306;105;599;15;211;15;1.375;3;65;156;206;17;31;176;10;76;91;360;9;172;3;2.943;11;241;663;753;40;29;640;26;230;14;239;6;39;12
1 de enero de 2021;04. Salamanca;90 a 94 años;2.414;6;199;515;599;15;31;450;14;153;42;274;9;96;11;625;0;25;84;97;5;14;81;1;32;36;168;8;74;0;1.789;6;174;431;502;10;17;369;13;121;6;106;1;22;11
1 de enero de 2021;04. Salamanca;95 a 99 años;708;2;64;180;173;7;7;100;8;49;11;74;2;27;4;134;0;6;16;26;1;4;11;0;5;10;32;1;21;1;574;2;58;164;147;6;3;89;8;44;1;42;1;6;3
1 de enero de 2021;04. Salamanca;100 y más años;123;0;24;29;25;2;2;15;2;7;2;10;0;2;3;23;0;5;6;2;1;2;2;0;0;2;2;0;1;0;100;0;19;23;23;1;0;13;2;7;0;8;0;1;3
1 de enero de 2021;05. Chamartín;Total;114.690;183;1.296;4.743;13.482;1.693;2.403;18.172;2.257;7.615;2.366;43.933;1.065;15.203;279;50.084;80;317;1.342;4.448;750;1.305;7.639;660;2.346;1.818;21.286;582;7.412;99;64.606;103;979;3.401;9.034;943;1.098;10.533;1.597;5.269;548;22.647;483;7.791;180
1 de enero de 2021;05. Chamartín;25 a 29 años;9.548;40;69;105;685;148;196;1.827;77;114;38;4.464;60;1.723;2;4.481;23;43;49;313;84;123;1.018;35;45;25;1.927;25;770;1;5.067;17;26;56;372;64;73;809;42;69;13;2.537;35;953;1
1 de enero de 2021;05. Chamartín;30 a 34 años;10.569;7;32;108;780;146;279;1.176;114;400;170;5.118;95;2.133;11;4.978;4;21;55;349;70;169;643;45;124;111;2.424;47;905;11;5.591;3;11;53;431;76;110;533;69;276;59;2.694;48;1.228;0
1 de enero de 2021;05. Chamartín;35 a 39 años;10.449;5;23;124;850;134;277;1.180;131;658;227;4.797;141;1.896;6;4.934;2;7;58;384;79;178;639;52;209;157;2.246;76;844;3;5.515;3;16;66;466;55;99;541;79;449;70;2.551;65;1.052;3
