C. Demografía y Población
Padrón municipal
Características de la población a 1 de enero
Nivel de estudios
"1.1.6.2. Población de 25 y más años clasificada por Nivel de estudios según Distrito y Grupo de edad, para cada Sexo"
;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2021;Ciudad de Madrid;Total;2.567.076;12.116;96.648;270.260;575.072;101.436;101.059;396.397;46.810;143.393;46.626;567.626;20.980;185.824;2.829;1.167.287;4.125;33.225;106.437;261.618;51.673;58.289;190.680;17.489;45.950;35.391;262.783;11.289;87.167;1.171;1.399.789;7.991;63.423;163.823;313.454;49.763;42.770;205.717;29.321;97.443;11.235;304.843;9.691;98.657;1.658
1 de enero de 2021;Ciudad de Madrid;25 a 29 años;217.953;1.869;3.346;7.459;41.904;9.297;8.216;44.392;2.388;2.860;941;68.951;1.444;24.857;29;104.812;1.225;2.038;4.228;21.688;5.130;4.519;23.931;1.079;1.035;548;28.073;680;10.614;24;113.141;644;1.308;3.231;20.216;4.167;3.697;20.461;1.309;1.825;393;40.878;764;14.243;5
1 de enero de 2021;Ciudad de Madrid;30 a 34 años;231.935;501;4.362;8.922;47.726;9.444;11.283;30.498;3.351;10.004;3.558;70.210;2.363;29.507;206;112.469;304;2.654;4.833;24.252;5.227;6.657;16.377;1.529;3.033;2.431;31.639;1.167;12.228;138;119.466;197;1.708;4.089;23.474;4.217;4.626;14.121;1.822;6.971;1.127;38.571;1.196;17.279;68
1 de enero de 2021;Ciudad de Madrid;35 a 39 años;242.347;297;2.282;10.419;55.011;9.242;10.600;33.533;5.105;14.961;5.539;65.237;3.485;26.556;80;118.128;144;1.289;5.615;28.246;5.072;6.213;17.761;2.200;4.582;3.892;29.779;1.814;11.462;59;124.219;153;993;4.804;26.765;4.170;4.387;15.772;2.905;10.379;1.647;35.458;1.671;15.094;21
1 de enero de 2021;Ciudad de Madrid;40 a 44 años;262.945;413;2.207;10.837;56.488;10.627;11.439;40.212;7.336;18.023;6.341;72.056;4.126;22.822;18;128.136;198;1.102;5.714;29.351;5.755;6.326;21.324;3.053;5.894;4.407;32.474;2.164;10.362;12;134.809;215;1.105;5.123;27.137;4.872;5.113;18.888;4.283;12.129;1.934;39.582;1.962;12.460;6
1 de enero de 2021;Ciudad de Madrid;45 a 49 años;265.708;557;2.516;12.032;56.788;11.490;13.476;40.825;7.653;18.759;6.813;72.887;2.965;18.930;17;128.718;265;1.232;6.265;29.361;6.229;7.509;20.778;2.889;6.467;4.665;32.703;1.541;8.803;11;136.990;292;1.284;5.767;27.427;5.261;5.967;20.047;4.764;12.292;2.148;40.184;1.424;10.127;6
1 de enero de 2021;Ciudad de Madrid;50 a 54 años;248.941;652;2.929;13.901;55.984;14.620;15.024;41.388;6.415;16.666;4.805;58.610;2.085;15.793;69;118.263;286;1.401;6.936;27.458;7.512;8.196;19.735;2.262;5.598;3.594;26.532;1.139;7.574;40;130.678;366;1.528;6.965;28.526;7.108;6.828;21.653;4.153;11.068;1.211;32.078;946;8.219;29
1 de enero de 2021;Ciudad de Madrid;55 a 59 años;234.890;726;3.215;16.296;55.279;13.983;12.102;44.634;4.866;14.798;3.887;49.454;1.372;14.070;208;108.209;299;1.404;7.657;25.954;6.376;6.421;20.164;1.624;4.898;3.088;22.510;774;6.943;97;126.681;427;1.811;8.639;29.325;7.607;5.681;24.470;3.242;9.900;799;26.944;598;7.127;111
1 de enero de 2021;Ciudad de Madrid;60 a 64 años;198.963;707;3.918;21.182;49.134;7.773;6.182;40.077;3.400;13.059;2.962;37.235;1.019;11.974;341;89.904;271;1.618;9.056;21.499;3.243;3.737;18.283;1.032;4.229;2.438;17.742;597;6.016;143;109.059;436;2.300;12.126;27.635;4.530;2.445;21.794;2.368;8.830;524;19.493;422;5.958;198
