;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2019;Ciudad de Madrid;75 a 79 años;122.396;1.222;14.365;35.227;29.457;2.517;2.334;12.563;818;6.018;2.642;11.339;350;3.189;355;49.397;232;4.455;12.101;10.281;1.339;1.760;4.910;257;1.888;2.399;7.138;266;2.245;126;72.999;990;9.910;23.126;19.176;1.178;574;7.653;561;4.130;243;4.201;84;944;229
1 de enero de 2019;Ciudad de Madrid;80 a 84 años;108.670;1.849;20.480;36.912;21.859;1.821;1.648;9.021;559;4.085;1.461;6.219;266;2.131;359;40.765;241;6.198;12.226;7.794;1.072;1.198;3.356;179;1.283;1.322;3.908;193;1.668;127;67.905;1.608;14.282;24.686;14.065;749;450;5.665;380;2.802;139;2.311;73;463;232
1 de enero de 2019;Ciudad de Madrid;85 a 89 años;82.002;1.798;19.137;28.752;14.563;1.107;1.008;6.309;354;2.685;750;3.831;161;1.232;315;28.226;234;5.494;9.031;4.825;632;689;2.144;96;819;658;2.422;113;986;83;53.776;1.564;13.643;19.721;9.738;475;319;4.165;258;1.866;92;1.409;48;246;232
1 de enero de 2019;Ciudad de Madrid;90 a 94 años;36.378;720;9.303;13.011;6.009;354;386;2.698;153;1.133;307;1.495;66;579;164;10.318;70;2.133;3.281;1.638;172;265;720;36;294;254;899;50;460;46;26.060;650;7.170;9.730;4.371;182;121;1.978;117;839;53;596;16;119;118
1 de enero de 2019;Ciudad de Madrid;95 a 99 años;9.489;158;2.490;3.475;1.543;75;89;745;37;310;58;336;10;122;41;2.124;16;434;680;357;31;43;146;11;62;47;177;6;105;9;7.365;142;2.056;2.795;1.186;44;46;599;26;248;11;159;4;17;32
1 de enero de 2019;Ciudad de Madrid;100 y más años;1.436;49;411;492;216;11;18;106;6;48;6;47;1;8;17;256;6;52;64;48;3;9;26;0;11;3;23;1;6;4;1.180;43;359;428;168;8;9;80;6;37;3;24;0;2;13
1 de enero de 2019;01. Centro;Total;115.198;306;3.152;8.982;18.735;2.919;3.561;17.668;2.339;6.940;1.936;34.165;1.656;12.746;93;58.027;103;1.262;3.842;9.780;1.621;2.161;9.571;1.150;2.863;1.443;16.953;946;6.289;43;57.171;203;1.890;5.140;8.955;1.298;1.400;8.097;1.189;4.077;493;17.212;710;6.457;50
1 de enero de 2019;01. Centro;25 a 29 años;12.671;31;128;268;1.567;314;377;2.099;170;387;124;5.284;172;1.747;3;6.262;21;85;184;985;176;209;1.151;79;145;73;2.302;81;769;2;6.409;10;43;84;582;138;168;948;91;242;51;2.982;91;978;1
1 de enero de 2019;01. Centro;30 a 34 años;14.787;10;147;354;1.965;315;573;1.883;242;823;259;5.478;234;2.498;6;7.864;4;95;240;1.233;215;366;1.137;132;328;177;2.700;129;1.103;5;6.923;6;52;114;732;100;207;746;110;495;82;2.778;105;1.395;1
1 de enero de 2019;01. Centro;35 a 39 años;14.629;13;131;401;1.997;316;532;2.006;356;906;319;5.138;344;2.169;1;8.117;9;94;251;1.294;198;355;1.254;206;400;237;2.559;193;1.066;1;6.512;4;37;150;703;118;177;752;150;506;82;2.579;151;1.103;0
