C. Demografía y Población
Padrón municipal
Características de la población a 1 de enero
Nivel de estudios
"1.1.6.2. Población de 25 y más años clasificada por Nivel de estudios según Distrito y Grupo de edad, para cada Sexo"
;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2015;Ciudad de Madrid;Total;2.433.457;14.798;135.904;330.930;549.351;93.280;89.333;376.491;42.823;150.980;48.308;462.209;18.454;116.086;4.510;1.102.001;3.916;46.601;131.571;250.371;47.741;52.244;180.378;15.616;48.001;37.290;219.080;10.037;57.260;1.895;1.331.456;10.882;89.303;199.359;298.980;45.539;37.089;196.113;27.207;102.979;11.018;243.129;8.417;58.826;2.615
1 de enero de 2015;Ciudad de Madrid;25 a 29 años;188.514;424;5.454;10.759;43.213;8.913;9.564;34.834;2.430;11.703;3.301;46.854;1.624;8.997;444;90.073;255;3.301;5.932;21.863;4.871;5.361;18.339;944;3.104;2.283;19.327;705;3.473;315;98.441;169;2.153;4.827;21.350;4.042;4.203;16.495;1.486;8.599;1.018;27.527;919;5.524;129
1 de enero de 2015;Ciudad de Madrid;30 a 34 años;234.398;328;2.460;11.780;54.130;9.061;8.669;38.271;5.315;16.965;5.944;61.813;3.600;15.998;64;113.388;155;1.304;6.392;28.105;4.962;5.024;20.456;2.187;5.020;4.175;27.278;1.805;6.481;44;121.010;173;1.156;5.388;26.025;4.099;3.645;17.815;3.128;11.945;1.769;34.535;1.795;9.517;20
1 de enero de 2015;Ciudad de Madrid;35 a 39 años;267.076;532;2.719;12.345;55.471;10.895;11.220;43.776;7.811;20.093;7.209;73.536;4.143;17.293;33;130.860;257;1.384;6.623;29.594;5.986;6.163;23.452;3.178;6.423;4.969;33.007;2.192;7.609;23;136.216;275;1.335;5.722;25.877;4.909;5.057;20.324;4.633;13.670;2.240;40.529;1.951;9.684;10
1 de enero de 2015;Ciudad de Madrid;40 a 44 años;263.115;628;2.889;13.575;56.748;12.229;13.346;41.549;7.678;19.345;6.954;70.085;2.892;15.159;38;128.882;295;1.469;7.201;29.791;6.675;7.474;21.296;2.907;6.663;4.830;31.694;1.533;7.034;20;134.233;333;1.420;6.374;26.957;5.554;5.872;20.253;4.771;12.682;2.124;38.391;1.359;8.125;18
1 de enero de 2015;Ciudad de Madrid;45 a 49 años;248.848;764;3.325;15.609;56.098;15.305;15.343;43.055;6.055;17.144;4.705;55.795;1.823;13.707;120;119.415;357;1.618;7.885;28.086;7.823;8.369;20.642;2.194;5.720;3.602;25.421;1.004;6.621;73;129.433;407;1.707;7.724;28.012;7.482;6.974;22.413;3.861;11.424;1.103;30.374;819;7.086;47
1 de enero de 2015;Ciudad de Madrid;50 a 54 años;231.333;853;3.718;18.728;55.810;13.397;11.099;45.543;4.421;14.869;3.890;45.027;1.246;12.428;304;108.327;358;1.621;8.932;26.746;6.036;6.052;20.957;1.448;4.936;3.149;21.051;730;6.181;130;123.006;495;2.097;9.796;29.064;7.361;5.047;24.586;2.973;9.933;741;23.976;516;6.247;174
1 de enero de 2015;Ciudad de Madrid;55 a 59 años;196.554;798;4.608;23.637;49.161;7.082;5.458;40.113;3.147;13.028;2.782;34.714;934;10.625;467;89.739;310;1.942;10.268;21.416;3.038;3.435;18.555;962;4.272;2.326;17.046;543;5.423;203;106.815;488;2.666;13.369;27.745;4.044;2.023;21.558;2.185;8.756;456;17.668;391;5.202;264
1 de enero de 2015;Ciudad de Madrid;60 a 64 años;159.757;805;6.453;27.979;41.324;4.676;3.787;27.213;2.153;9.978;2.784;24.553;677;6.905;470;70.584;324;2.475;11.489;15.704;2.026;2.538;12.231;616;3.246;2.350;13.078;441;3.852;214;89.173;481;3.978;16.490;25.620;2.650;1.249;14.982;1.537;6.732;434;11.475;236;3.053;256
