;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2025;Ciudad de Madrid;75 a 79 años;133.710;653;8.370;30.458;35.264;3.394;2.895;16.882;1.504;8.003;3.179;17.681;468;4.959;0;53.602;146;2.431;10.404;11.587;1.508;1.960;6.764;426;2.212;2.777;10.167;291;2.929;0;80.108;507;5.939;20.054;23.677;1.886;935;10.118;1.078;5.791;402;7.514;177;2.030;0
1 de enero de 2025;Ciudad de Madrid;80 a 84 años;111.221;892;11.392;31.152;28.086;2.325;2.173;11.628;865;5.702;2.447;11.155;337;3.067;0;42.412;148;3.225;9.890;9.132;1.164;1.553;4.229;236;1.645;2.187;6.693;240;2.070;0;68.809;744;8.167;21.262;18.954;1.161;620;7.399;629;4.057;260;4.462;97;997;0
1 de enero de 2025;Ciudad de Madrid;85 a 89 años;73.422;1.052;12.668;24.561;15.611;1.305;1.057;6.419;433;3.044;983;4.632;182;1.475;0;25.016;131;3.294;7.224;4.947;730;744;2.104;132;827;879;2.786;125;1.093;0;48.406;921;9.374;17.337;10.664;575;313;4.315;301;2.217;104;1.846;57;382;0
1 de enero de 2025;Ciudad de Madrid;90 a 94 años;45.519;795;9.533;16.165;8.682;606;583;3.644;212;1.719;462;2.321;90;707;0;13.542;76;2.232;4.289;2.404;303;382;1.025;47;460;412;1.313;56;543;0;31.977;719;7.301;11.876;6.278;303;201;2.619;165;1.259;50;1.008;34;164;0
1 de enero de 2025;Ciudad de Madrid;95 a 99 años;13.120;254;3.151;4.677;2.271;128;120;1.064;65;475;96;570;27;222;0;3.114;17;649;976;491;57;67;210;12;97;72;290;20;156;0;10.006;237;2.502;3.701;1.780;71;53;854;53;378;24;280;7;66;0
1 de enero de 2025;Ciudad de Madrid;100 y más años;2.101;50;519;757;362;16;22;162;8;79;12;85;3;25;1;381;5;71;110;74;8;12;23;1;11;10;38;3;15;0;1.720;45;448;647;288;8;10;139;7;68;2;47;0;10;1
1 de enero de 2025;01. Centro;Total;124.455;285;2.053;6.532;18.902;2.897;3.974;19.166;2.576;6.424;1.771;40.062;1.824;17.989;0;63.604;126;851;2.893;10.213;1.641;2.396;10.533;1.298;2.753;1.276;19.692;991;8.941;0;60.851;159;1.202;3.639;8.689;1.256;1.578;8.633;1.278;3.671;495;20.370;833;9.048;0
1 de enero de 2025;01. Centro;25 a 29 años;15.286;64;63;254;1.847;265;448;2.951;262;398;79;6.041;184;2.430;0;7.265;40;51;176;1.163;167;268;1.598;128;169;52;2.365;84;1.004;0;8.021;24;12;78;684;98;180;1.353;134;229;27;3.676;100;1.426;0
1 de enero de 2025;01. Centro;30 a 34 años;17.229;40;97;261;2.020;315;559;2.293;290;434;141;6.671;282;3.826;0;9.100;26;68;190;1.305;193;324;1.375;165;202;89;3.198;149;1.816;0;8.129;14;29;71;715;122;235;918;125;232;52;3.473;133;2.010;0
1 de enero de 2025;01. Centro;35 a 39 años;14.279;5;114;279;1.924;273;552;1.715;281;665;202;5.184;252;2.833;0;8.083;3;85;193;1.249;189;363;1.070;164;324;142;2.711;145;1.445;0;6.196;2;29;86;675;84;189;645;117;341;60;2.473;107;1.388;0
