E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda
;;;Euros/m2
;;;Usadas
2019;01. Centro;01. Centro;"5.103,94"
2019;02. Arganzuela;02. Arganzuela;"3.970,19"
2019;03. Retiro;03. Retiro;"4.939,81"
2019;04. Salamanca;04. Salamanca;"5.740,36"
2019;05. Chamartín;05. Chamartín;"5.153,65"
2019;06. Tetuán;06. Tetuán;"3.690,05"
2019;07. Chamberí;07. Chamberí;"5.551,37"
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"3.572,29"
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"3.873,82"
2019;10. Latina;10. Latina;"2.290,91"
2019;11. Carabanchel;11. Carabanchel;"2.156,29"
2019;12. Usera;12. Usera;"1.935,18"
2019;13. Puente de Vallecas;13. Puente de Vallecas;"1.846,07"
2019;14. Moratalaz;14. Moratalaz;"2.575,81"
2019;15. Ciudad Lineal;15. Ciudad Lineal;"3.176,63"
2019;16. Hortaleza;16. Hortaleza;"3.318,3"
2019;17. Villaverde;17. Villaverde;"1.626,45"
2019;18. Villa de Vallecas;18. Villa de Vallecas;"2.276,8"
2019;19. Vicálvaro;19. Vicálvaro;"1.939,48"
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.233,08"
2019;21. Barajas;21. Barajas;"3.017,61"
2020;Ciudad de Madrid;Ciudad de Madrid;"3.572,02"
2020;01. Centro;01. Centro;"5.194,16"
2020;02. Arganzuela;02. Arganzuela;"3.997,83"
2020;03. Retiro;03. Retiro;"4.757,93"
2020;04. Salamanca;04. Salamanca;"5.478,56"
2020;05. Chamartín;05. Chamartín;"5.139,7"
2020;06. Tetuán;06. Tetuán;"3.672,79"
2020;07. Chamberí;07. Chamberí;"5.471,59"
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"3.609,65"
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"3.757,32"
2020;10. Latina;10. Latina;"2.307,11"
2020;11. Carabanchel;11. Carabanchel;"2.306,54"
2020;12. Usera;12. Usera;"1.945,22"
2020;13. Puente de Vallecas;13. Puente de Vallecas;"1.914,69"
2020;14. Moratalaz;14. Moratalaz;"2.512,63"
2020;15. Ciudad Lineal;15. Ciudad Lineal;"3.129,4"
2020;16. Hortaleza;16. Hortaleza;"3.582,75"
2020;17. Villaverde;17. Villaverde;"1.716,5"
2020;18. Villa de Vallecas;18. Villa de Vallecas;"2.386,81"
2020;19. Vicálvaro;19. Vicálvaro;"2.372,86"
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.470,31"
2020;21. Barajas;21. Barajas;"3.401,33"
2021;Ciudad de Madrid;Ciudad de Madrid;"3.648,73"
2021;01. Centro;01. Centro;"4.903,14"
2021;02. Arganzuela;02. Arganzuela;"3.894,94"
2021;03. Retiro;03. Retiro;"4.816,68"
2021;04. Salamanca;04. Salamanca;"5.646,55"
2021;05. Chamartín;05. Chamartín;"5.140,58"
2021;06. Tetuán;06. Tetuán;"3.768,82"
2021;07. Chamberí;07. Chamberí;"5.645,58"
2021;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"3.751,29"
2021;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"3.910,39"
2021;10. Latina;10. Latina;"2.334,12"
2021;11. Carabanchel;11. Carabanchel;"2.333,45"
2021;12. Usera;12. Usera;"2.040,74"
2021;13. Puente de Vallecas;13. Puente de Vallecas;"1.925,15"
2021;14. Moratalaz;14. Moratalaz;"2.591,61"
2021;15. Ciudad Lineal;15. Ciudad Lineal;"3.159,66"
2021;16. Hortaleza;16. Hortaleza;"3.651,1"
2021;17. Villaverde;17. Villaverde;"1.689,96"
2021;18. Villa de Vallecas;18. Villa de Vallecas;"2.316,51"
2021;19. Vicálvaro;19. Vicálvaro;"2.409,54"
2021;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.486,59"
2021;21. Barajas;21. Barajas;"3.279,8"
2022;Ciudad de Madrid;Ciudad de Madrid;"3.966,11"
2022;01. Centro;01. Centro;"5.443,39"
2022;02. Arganzuela;02. Arganzuela;"4.363,57"
2022;03. Retiro;03. Retiro;"5.301,46"
2022;04. Salamanca;04. Salamanca;"6.462,96"
2022;05. Chamartín;05. Chamartín;"5.497,12"
2022;06. Tetuán;06. Tetuán;"3.997,48"
2022;07. Chamberí;07. Chamberí;"6.158,85"
2022;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"4.001,37"
2022;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"4.326,81"
2022;10. Latina;10. Latina;"2.482,76"
2022;11. Carabanchel;11. Carabanchel;"2.389,46"
2022;12. Usera;12. Usera;"2.147,55"
2022;13. Puente de Vallecas;13. Puente de Vallecas;"2.081,79"
2022;14. Moratalaz;14. Moratalaz;"2.769,45"
2022;15. Ciudad Lineal;15. Ciudad Lineal;"3.466,9"
2022;16. Hortaleza;16. Hortaleza;"3.974,96"
2022;17. Villaverde;17. Villaverde;"1.796,25"
2022;18. Villa de Vallecas;18. Villa de Vallecas;"2.616,84"
2022;19. Vicálvaro;19. Vicálvaro;"2.596,1"
2022;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.691,67"
2022;21. Barajas;21. Barajas;"3.302,28"
2023;Ciudad de Madrid;Ciudad de Madrid;"4.076,59"
2023;01. Centro;01. Centro;"5.705,23"
2023;02. Arganzuela;02. Arganzuela;"4.462,14"
2023;03. Retiro;03. Retiro;"5.504,72"
2023;04. Salamanca;04. Salamanca;"7.375,47"
2023;05. Chamartín;05. Chamartín;"5.770,9"
2023;06. Tetuán;06. Tetuán;"4.292,22"
2023;07. Chamberí;07. Chamberí;"6.690,99"
2023;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"4.097,63"
2023;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"4.541,03"
2023;10. Latina;10. Latina;"2.586,06"
2023;11. Carabanchel;11. Carabanchel;"2.425,38"
2023;12. Usera;12. Usera;"2.288,84"
2023;13. Puente de Vallecas;13. Puente de Vallecas;"2.136,7"
2023;14. Moratalaz;14. Moratalaz;"2.834,41"
2023;15. Ciudad Lineal;15. Ciudad Lineal;"3.539,48"
2023;16. Hortaleza;16. Hortaleza;"3.957,52"
2023;17. Villaverde;17. Villaverde;"1.880,84"
